,trading_date,delivery_start,delivery_end,application_year,tenor,price_type,price
0,2023-01-27 10:27:26,2023-01-28 00:00:00,2023-01-29 00:00:00,2023,DA,Last,50.0
1,2023-01-27 10:27:34,2023-01-28 00:00:00,2023-01-30 00:00:00,2023,WE,Last,50.08
