,trading_date,delivery_start,delivery_end,application_year,tenor,price_type,price
0,2024-01-19 10:27:43,2024-01-20 00:00:00,2024-01-21 00:00:00,2024,DA,Last,26.5
1,2024-01-19 10:27:41,2024-01-20 00:00:00,2024-01-22 00:00:00,2024,WE,Last,26.5
