,trading_date,delivery_start,delivery_end,application_year,tenor,price_type,price
0,2023-01-05 10:27:44,2023-01-06 00:00:00,2023-01-07 00:00:00,2023,DA,Last,56.5
1,2023-01-05 10:27:04,2023-01-07 00:00:00,2023-01-09 00:00:00,2023,WE,Last,56.75
