,trading_date,delivery_start,delivery_end,application_year,tenor,price_type,price
0,2024-12-27 10:27:38,2024-12-28 00:00:00,2024-12-29 00:00:00,2024,DA,Last,47.23
1,2024-12-27 10:27:38,2024-12-28 00:00:00,2024-12-30 00:00:00,2024,WE,Last,47.2
