,trading_date,delivery_start,delivery_end,application_year,tenor,price_type,price
0,2024-04-19 09:27:48,2024-04-20 00:00:00,2024-04-21 00:00:00,2024,DA,Last,31.18
1,2024-04-19 09:27:47,2024-04-20 00:00:00,2024-04-22 00:00:00,2024,WE,Last,31.15
