,trading_date,delivery_start,delivery_end,application_year,tenor,price_type,price
0,2024-05-17 09:27:31,2024-05-18 00:00:00,2024-05-19 00:00:00,2024,DA,Last,30.83
1,2024-05-17 09:27:35,2024-05-18 00:00:00,2024-05-20 00:00:00,2024,WE,Last,30.7
