,trading_date,delivery_start,delivery_end,application_year,tenor,price_type,price
0,2024-03-28 10:27:43,2024-03-29 00:00:00,2024-03-30 00:00:00,2024,DA,Last,27.1
1,2024-03-28 10:27:52,2024-03-30 00:00:00,2024-04-01 00:00:00,2024,WE,Last,27.1
