,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2019-07-09,2019-07-09,2019-07-09,Day,38.45
1,2019-07-09,2019-07-10,2019-07-10,Day,42.65
2,2019-07-09,2019-07-11,2019-07-11,Day,47.67
3,2019-07-09,2019-07-12,2019-07-12,Day,40.25
4,2019-07-09,2019-07-13,2019-07-13,Day,33.1
5,2019-07-09,2019-07-14,2019-07-14,Day,26.58
6,2019-07-09,2019-07-15,2019-07-15,Day,40.98
7,2019-07-09,2019-07-01,2019-07-31,Month,40.72
8,2019-07-09,2019-08-01,2019-08-30,Month,44.19
9,2019-07-09,2019-09-02,2019-09-30,Month,48.06
10,2019-07-09,2019-10-01,2019-10-31,Month,58.11
11,2019-07-09,2019-11-01,2019-11-29,Month,77.31
12,2019-07-09,2019-12-02,2019-12-31,Month,76.62
13,2019-07-09,2019-10-01,2019-12-31,Quarter,70.39
14,2019-07-09,2020-01-01,2020-03-31,Quarter,73.61
15,2019-07-09,2020-04-01,2020-06-30,Quarter,52.47
16,2019-07-09,2020-07-01,2020-09-30,Quarter,53.63
17,2019-07-09,2020-10-01,2020-12-31,Quarter,73.35
18,2019-07-09,2019-07-08,2019-07-12,Week,41.26
19,2019-07-09,2019-07-15,2019-07-19,Week,42.0
20,2019-07-09,2019-07-22,2019-07-26,Week,43.75
21,2019-07-09,2019-07-29,2019-08-02,Week,43.5
22,2019-07-09,2019-08-05,2019-08-09,Week,43.5
23,2019-07-09,2019-07-13,2019-07-14,Weekend,29.84
24,2019-07-09,2020-01-01,2020-12-31,Year,63.27
25,2019-07-09,2021-01-01,2021-12-31,Year,62.93
26,2019-07-09,2022-01-03,2022-12-30,Year,64.43
