,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2017-03-21,2017-03-21,2017-03-21,Day,46.27
1,2017-03-21,2017-03-22,2017-03-22,Day,39.16
2,2017-03-21,2017-03-23,2017-03-23,Day,41.0
3,2017-03-21,2017-03-24,2017-03-24,Day,40.0
4,2017-03-21,2017-03-01,2017-03-31,Month,42.24
5,2017-03-21,2017-04-03,2017-04-28,Month,36.42
6,2017-03-21,2017-05-01,2017-05-31,Month,35.27
7,2017-03-21,2017-06-01,2017-06-30,Month,37.84
8,2017-03-21,2017-04-03,2017-06-30,Quarter,36.49
9,2017-03-21,2017-07-03,2017-09-29,Quarter,38.75
10,2017-03-21,2017-10-02,2017-12-29,Quarter,52.29
11,2017-03-21,2018-01-01,2018-03-30,Quarter,54.23
12,2017-03-21,2017-03-20,2017-03-24,Week,40.58
13,2017-03-21,2017-03-27,2017-03-31,Week,39.0
14,2017-03-21,2017-04-03,2017-04-07,Week,39.0
15,2017-03-21,2017-04-10,2017-04-14,Week,35.25
16,2017-03-21,2017-04-17,2017-04-21,Week,34.0
17,2017-03-21,2017-03-25,2017-03-26,Weekend,0.01
18,2017-03-21,2017-04-01,2017-04-02,Weekend,0.01
19,2017-03-21,2018-01-01,2019-01-01,Year,45.24
20,2017-03-21,2019-01-01,2020-01-01,Year,45.51
21,2017-03-21,2020-01-01,2021-01-01,Year,47.64
22,2017-03-21,2021-01-01,2022-01-01,Year,49.52
