,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2019-11-19,2019-11-19,2019-11-19,Day,64.2
1,2019-11-19,2019-11-20,2019-11-20,Day,59.37
2,2019-11-19,2019-11-21,2019-11-21,Day,55.0
3,2019-11-19,2019-11-22,2019-11-22,Day,47.44
4,2019-11-19,2019-11-23,2019-11-23,Day,40.1
5,2019-11-19,2019-11-24,2019-11-24,Day,36.28
6,2019-11-19,2019-11-25,2019-11-25,Day,44.81
7,2019-11-19,2019-11-01,2019-11-30,Month,45.59
8,2019-11-19,2019-12-01,2019-12-31,Month,47.59
9,2019-11-19,2020-01-01,2020-01-31,Month,52.84
10,2019-11-19,2020-02-01,2020-02-29,Month,56.65
11,2019-11-19,2020-03-01,2020-03-31,Month,48.63
12,2019-11-19,2020-04-01,2020-04-30,Month,43.83
13,2019-11-19,2020-05-01,2020-05-31,Month,37.62
14,2019-11-19,2020-01-01,2020-03-31,Quarter,52.62
15,2019-11-19,2020-04-01,2020-06-30,Quarter,40.35
16,2019-11-19,2020-07-01,2020-09-30,Quarter,41.6
17,2019-11-19,2020-10-01,2020-12-31,Quarter,56.44
18,2019-11-19,2021-01-01,2021-03-31,Quarter,58.43
19,2019-11-19,2021-04-01,2021-06-30,Quarter,38.99
20,2019-11-19,2021-07-01,2021-09-30,Quarter,40.34
21,2019-11-19,2019-11-18,2019-11-24,Week,51.23
22,2019-11-19,2019-11-25,2019-12-01,Week,42.84
23,2019-11-19,2019-12-02,2019-12-08,Week,45.5
24,2019-11-19,2019-12-09,2019-12-15,Week,50.88
25,2019-11-19,2019-12-16,2019-12-22,Week,53.0
26,2019-11-19,2019-11-23,2019-11-24,Weekend,38.19
27,2019-11-19,2020-01-01,2020-12-31,Year,47.76
28,2019-11-19,2021-01-01,2021-12-31,Year,47.8
29,2019-11-19,2022-01-01,2022-12-31,Year,47.26
