,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2021-03-26,2021-03-26,2021-03-27,Day,53.92
1,2021-03-26,2021-03-27,2021-03-28,Day,36.38
2,2021-03-26,2021-03-28,2021-03-29,Day,32.5
3,2021-03-26,2021-03-29,2021-03-30,Day,48.91
4,2021-03-26,2021-03-30,2021-03-31,Day,51.58
5,2021-03-26,2021-03-31,2021-04-01,Day,54.18
6,2021-03-26,2021-04-01,2021-04-02,Day,52.34
7,2021-03-26,2021-03-01,2021-04-01,Month,50.22
8,2021-03-26,2021-04-01,2021-05-01,Month,50.67
9,2021-03-26,2021-05-01,2021-06-01,Month,47.45
10,2021-03-26,2021-06-01,2021-07-01,Month,49.54
11,2021-03-26,2021-07-01,2021-08-01,Month,52.35
12,2021-03-26,2021-08-01,2021-09-01,Month,49.48
13,2021-03-26,2021-09-01,2021-10-01,Month,56.06
14,2021-03-26,2021-04-01,2021-07-01,Quarter,49.2
15,2021-03-26,2021-07-01,2021-10-01,Quarter,52.59
16,2021-03-26,2021-10-01,2022-01-01,Quarter,65.89
17,2021-03-26,2022-01-01,2022-04-01,Quarter,67.2
18,2021-03-26,2022-04-01,2022-07-01,Quarter,46.05
19,2021-03-26,2022-07-01,2022-10-01,Quarter,48.22
20,2021-03-26,2022-10-01,2023-01-01,Quarter,63.05
21,2021-03-26,2023-01-01,2023-04-01,Quarter,66.0
22,2021-03-26,2023-04-01,2023-07-01,Quarter,44.02
23,2021-03-26,2021-03-22,2021-03-29,Week,52.71
24,2021-03-26,2021-03-29,2021-04-05,Week,48.92
25,2021-03-26,2021-04-05,2021-04-12,Week,52.43
26,2021-03-26,2021-04-12,2021-04-19,Week,50.92
27,2021-03-26,2021-04-19,2021-04-26,Week,49.57
28,2021-03-26,2021-03-27,2021-03-29,Weekend,34.48
29,2021-03-26,2021-04-03,2021-04-05,Weekend,42.85
30,2021-03-26,2022-01-01,2023-01-01,Year,56.1
31,2021-03-26,2023-01-01,2024-01-01,Year,53.28
32,2021-03-26,2024-01-01,2025-01-01,Year,50.59
