,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2020-02-14,2020-02-14,2020-02-14,Day,30.81
1,2020-02-14,2020-02-15,2020-02-15,Day,22.42
2,2020-02-14,2020-02-16,2020-02-16,Day,8.08
3,2020-02-14,2020-02-17,2020-02-17,Day,23.81
4,2020-02-14,2020-02-18,2020-02-18,Day,26.34
5,2020-02-14,2020-02-19,2020-02-19,Day,30.81
6,2020-02-14,2020-02-20,2020-02-20,Day,32.11
7,2020-02-14,2020-02-01,2020-02-29,Month,27.49
8,2020-02-14,2020-03-01,2020-03-31,Month,33.15
9,2020-02-14,2020-04-01,2020-04-30,Month,32.04
10,2020-02-14,2020-05-01,2020-05-31,Month,30.11
11,2020-02-14,2020-06-01,2020-06-30,Month,32.88
12,2020-02-14,2020-07-01,2020-07-31,Month,34.07
13,2020-02-14,2020-08-01,2020-08-31,Month,31.58
14,2020-02-14,2020-04-01,2020-06-30,Quarter,31.66
15,2020-02-14,2020-07-01,2020-09-30,Quarter,35.0
16,2020-02-14,2020-10-01,2020-12-31,Quarter,48.48
17,2020-02-14,2021-01-01,2021-03-31,Quarter,50.72
18,2020-02-14,2021-04-01,2021-06-30,Quarter,36.52
19,2020-02-14,2021-07-01,2021-09-30,Quarter,37.87
20,2020-02-14,2020-02-10,2020-02-16,Week,23.53
21,2020-02-14,2020-02-17,2020-02-23,Week,28.28
22,2020-02-14,2020-02-24,2020-03-01,Week,30.68
23,2020-02-14,2020-03-02,2020-03-08,Week,32.63
24,2020-02-14,2020-03-09,2020-03-15,Week,32.79
25,2020-02-14,2020-02-15,2020-02-16,Weekend,15.25
26,2020-02-14,2020-02-22,2020-02-23,Weekend,22.5
27,2020-02-14,2021-01-01,2021-12-31,Year,44.18
28,2020-02-14,2022-01-01,2022-12-31,Year,46.94
29,2020-02-14,2023-01-01,2023-12-31,Year,47.07
