,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2022-05-20,2022-05-20,2022-05-20,Day,205.37
1,2022-05-20,2022-05-21,2022-05-21,Day,171.18
2,2022-05-20,2022-05-22,2022-05-22,Day,153.17
3,2022-05-20,2022-05-23,2022-05-23,Day,200.0
4,2022-05-20,2022-05-24,2022-05-24,Day,193.43
5,2022-05-20,2022-05-25,2022-05-25,Day,193.43
6,2022-05-20,2022-05-26,2022-05-26,Day,120.0
7,2022-05-20,2022-05-02,2022-05-31,Month,205.01
8,2022-05-20,2022-06-01,2022-06-30,Month,239.69
9,2022-05-20,2022-07-01,2022-07-29,Month,269.07
10,2022-05-20,2022-08-01,2022-08-31,Month,268.08
11,2022-05-20,2022-07-01,2022-09-30,Quarter,300.95
12,2022-05-20,2022-10-03,2022-12-30,Quarter,856.91
13,2022-05-20,2023-01-02,2023-03-31,Quarter,1010.74
14,2022-05-20,2023-04-03,2023-06-30,Quarter,244.55
15,2022-05-20,2023-07-03,2023-09-29,Quarter,241.39
16,2022-05-20,2023-10-02,2023-12-29,Quarter,623.84
17,2022-05-20,2024-01-01,2024-03-29,Quarter,582.27
18,2022-05-20,2022-05-16,2022-05-20,Week,219.94
19,2022-05-20,2022-05-23,2022-05-27,Week,179.55
20,2022-05-20,2022-05-30,2022-06-03,Week,203.15
21,2022-05-20,2022-06-06,2022-06-10,Week,203.5
22,2022-05-20,2022-06-13,2022-06-17,Week,232.7
23,2022-05-20,2023-01-02,2023-12-29,Year,530.13
24,2022-05-20,2024-01-01,2024-12-31,Year,388.5
25,2022-05-20,2025-01-01,2025-12-31,Year,320.19
