,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2021-11-09,2021-11-09,2021-11-10,Day,190.22
1,2021-11-09,2021-11-10,2021-11-11,Day,232.4
2,2021-11-09,2021-11-11,2021-11-12,Day,196.06
3,2021-11-09,2021-11-12,2021-11-13,Day,191.0
4,2021-11-09,2021-11-13,2021-11-14,Day,175.87
5,2021-11-09,2021-11-14,2021-11-15,Day,151.63
6,2021-11-09,2021-11-15,2021-11-16,Day,214.56
7,2021-11-09,2021-11-01,2021-12-01,Month,195.24
8,2021-11-09,2021-12-01,2022-01-01,Month,210.19
9,2021-11-09,2022-01-01,2022-02-01,Month,225.0
10,2021-11-09,2022-02-01,2022-03-01,Month,209.24
11,2021-11-09,2022-03-01,2022-04-01,Month,153.56
12,2021-11-09,2022-04-01,2022-05-01,Month,92.44
13,2021-11-09,2022-05-01,2022-06-01,Month,86.93
14,2021-11-09,2022-01-01,2022-04-01,Quarter,195.51
15,2021-11-09,2022-04-01,2022-07-01,Quarter,89.55
16,2021-11-09,2022-07-01,2022-10-01,Quarter,89.93
17,2021-11-09,2022-10-01,2023-01-01,Quarter,116.31
18,2021-11-09,2023-01-01,2023-04-01,Quarter,120.69
19,2021-11-09,2023-04-01,2023-07-01,Quarter,61.96
20,2021-11-09,2023-07-01,2023-10-01,Quarter,64.08
21,2021-11-09,2023-10-01,2024-01-01,Quarter,87.87
22,2021-11-09,2021-11-08,2021-11-15,Week,192.49
23,2021-11-09,2021-11-15,2021-11-22,Week,200.42
24,2021-11-09,2021-11-22,2021-11-29,Week,215.25
25,2021-11-09,2021-11-29,2021-12-06,Week,213.61
26,2021-11-09,2021-12-06,2021-12-13,Week,221.93
27,2021-11-09,2021-11-13,2021-11-15,Weekend,163.75
28,2021-11-09,2022-01-01,2023-01-01,Year,122.51
29,2021-11-09,2023-01-01,2024-01-01,Year,83.5
30,2021-11-09,2024-01-01,2025-01-01,Year,72.34
31,2021-11-09,2025-01-01,2026-01-01,Year,69.4
32,2021-11-09,2027-01-01,2028-01-01,Year,70.03
