,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2022-07-14,2022-07-14,2022-07-14,Day,377.99
1,2022-07-14,2022-07-15,2022-07-15,Day,420.91
2,2022-07-14,2022-07-16,2022-07-16,Day,342.92
3,2022-07-14,2022-07-17,2022-07-17,Day,268.27
4,2022-07-14,2022-07-18,2022-07-18,Day,734.45
5,2022-07-14,2022-07-19,2022-07-19,Day,748.57
6,2022-07-14,2022-07-20,2022-07-20,Day,677.95
7,2022-07-14,2022-07-01,2022-07-29,Month,544.55
8,2022-07-14,2022-08-01,2022-08-31,Month,541.38
9,2022-07-14,2022-09-01,2022-09-30,Month,605.23
10,2022-07-14,2022-10-03,2022-10-31,Month,748.87
11,2022-07-14,2022-10-03,2022-12-30,Quarter,1621.80
12,2022-07-14,2023-01-02,2023-03-31,Quarter,1546.92
13,2022-07-14,2023-04-03,2023-06-30,Quarter,359.83
14,2022-07-14,2023-07-03,2023-09-29,Quarter,382.50
15,2022-07-14,2023-10-02,2023-12-29,Quarter,827.27
16,2022-07-14,2024-01-01,2024-03-29,Quarter,820.95
17,2022-07-14,2022-07-11,2022-07-15,Week,429.53
18,2022-07-14,2022-07-18,2022-07-22,Week,706.20
19,2022-07-14,2022-07-25,2022-07-29,Week,676.00
20,2022-07-14,2022-08-01,2022-08-05,Week,541.00
21,2022-07-14,2022-08-08,2022-08-12,Week,528.00
22,2022-07-14,2023-01-02,2023-12-29,Year,779.13
23,2022-07-14,2024-01-01,2024-12-31,Year,498.69
24,2022-07-14,2025-01-01,2025-12-31,Year,389.62
