,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2022-08-25,2022-08-25,2022-08-25,Day,661.04
1,2022-08-25,2022-08-26,2022-08-26,Day,744.77
2,2022-08-25,2022-08-27,2022-08-27,Day,592.70
3,2022-08-25,2022-08-28,2022-08-28,Day,463.68
4,2022-08-25,2022-08-29,2022-08-29,Day,856.32
5,2022-08-25,2022-08-30,2022-08-30,Day,900.92
6,2022-08-25,2022-08-31,2022-08-31,Day,900.92
7,2022-08-25,2022-08-01,2022-08-31,Month,559.43
8,2022-08-25,2022-09-01,2022-09-30,Month,940.00
9,2022-08-25,2022-10-03,2022-10-31,Month,1200.00
10,2022-08-25,2022-11-01,2022-11-30,Month,2999.59
11,2022-08-25,2022-12-01,2022-12-30,Month,3000.00
12,2022-08-25,2022-10-03,2022-12-30,Quarter,2418.32
13,2022-08-25,2023-01-02,2023-03-31,Quarter,2576.75
14,2022-08-25,2023-04-03,2023-06-30,Quarter,731.75
15,2022-08-25,2023-07-03,2023-09-29,Quarter,723.75
16,2022-08-25,2023-10-02,2023-12-29,Quarter,1511.75
17,2022-08-25,2024-01-01,2024-03-29,Quarter,1139.77
18,2022-08-25,2022-08-22,2022-08-26,Week,662.40
19,2022-08-25,2022-08-29,2022-09-02,Week,892.00
20,2022-08-25,2022-09-05,2022-09-09,Week,902.00
21,2022-08-25,2022-09-12,2022-09-16,Week,1086.95
22,2022-08-25,2022-09-19,2022-09-23,Week,1046.93
23,2022-08-25,2023-01-02,2023-12-29,Year,1386.00
24,2022-08-25,2024-01-01,2024-12-31,Year,649.69
25,2022-08-25,2025-01-01,2025-12-31,Year,615.00
