,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2020-07-14,2020-07-14,2020-07-15,Day,35.12
1,2020-07-14,2020-07-15,2020-07-16,Day,39.94
2,2020-07-14,2020-07-16,2020-07-17,Day,39.25
3,2020-07-14,2020-07-17,2020-07-18,Day,37.63
4,2020-07-14,2020-07-18,2020-07-19,Day,33.18
5,2020-07-14,2020-07-19,2020-07-20,Day,24.42
6,2020-07-14,2020-07-20,2020-07-21,Day,38.22
7,2020-07-14,2020-07-01,2020-08-01,Month,33.55
8,2020-07-14,2020-08-01,2020-09-01,Month,33.73
9,2020-07-14,2020-09-01,2020-10-01,Month,39.9
10,2020-07-14,2020-10-01,2020-11-01,Month,44.5
11,2020-07-14,2020-11-01,2020-12-01,Month,61.65
12,2020-07-14,2020-12-01,2021-01-01,Month,59.49
13,2020-07-14,2021-01-01,2021-02-01,Month,57.9
14,2020-07-14,2020-10-01,2021-01-01,Quarter,55.14
15,2020-07-14,2021-01-01,2021-04-01,Quarter,55.9
16,2020-07-14,2021-04-01,2021-07-01,Quarter,37.92
17,2020-07-14,2021-07-01,2021-10-01,Quarter,38.9
18,2020-07-14,2021-10-01,2022-01-01,Quarter,55.8
19,2020-07-14,2022-04-01,2022-07-01,Quarter,38.78
20,2020-07-14,2022-07-01,2022-10-01,Quarter,40.2
21,2020-07-14,2020-07-13,2020-07-20,Week,34.89
22,2020-07-14,2020-07-20,2020-07-27,Week,34.63
23,2020-07-14,2020-07-27,2020-08-03,Week,33.88
24,2020-07-14,2020-08-03,2020-08-10,Week,32.75
25,2020-07-14,2020-08-10,2020-08-17,Week,32.5
26,2020-07-14,2020-07-18,2020-07-20,Weekend,28.8
27,2020-07-14,2021-01-01,2022-01-01,Year,47.11
28,2020-07-14,2022-01-01,2023-01-01,Year,48.16
29,2020-07-14,2023-01-01,2024-01-01,Year,48.46
