,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2017-03-17,2017-03-17,2017-03-17,Day,35.74
1,2017-03-17,2017-03-18,2017-03-18,Day,25.66
2,2017-03-17,2017-03-19,2017-03-19,Day,18.74
3,2017-03-17,2017-03-20,2017-03-20,Day,33.5
4,2017-03-17,2017-03-01,2017-03-31,Month,35.5
5,2017-03-17,2017-04-01,2017-04-30,Month,31.98
6,2017-03-17,2017-05-01,2017-05-31,Month,29.54
7,2017-03-17,2017-06-01,2017-06-30,Month,31.61
8,2017-03-17,2017-07-01,2017-07-31,Month,31.88
9,2017-03-17,2017-04-01,2017-06-30,Quarter,31.03
10,2017-03-17,2017-07-01,2017-09-30,Quarter,31.38
11,2017-03-17,2017-10-01,2017-12-31,Quarter,41.28
12,2017-03-17,2018-01-01,2018-03-31,Quarter,42.31
13,2017-03-17,2018-10-01,2018-12-31,Quarter,40.0
14,2017-03-17,2017-03-13,2017-03-19,Week,32.83
15,2017-03-17,2017-03-20,2017-03-26,Week,34.13
16,2017-03-17,2017-03-27,2017-04-02,Week,35.0
17,2017-03-17,2017-04-03,2017-04-09,Week,34.75
18,2017-03-17,2017-04-10,2017-04-16,Week,31.0
19,2017-03-17,2017-03-18,2017-03-19,Weekend,22.2
20,2017-03-17,2017-03-25,2017-03-26,Weekend,0.01
21,2017-03-17,2018-01-01,2019-01-01,Year,34.62
22,2017-03-17,2019-01-01,2020-01-01,Year,34.45
23,2017-03-17,2020-01-01,2021-01-01,Year,36.05
