,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2019-11-07,2019-11-07,2019-11-07,Day,48.48
1,2019-11-07,2019-11-08,2019-11-08,Day,56.48
2,2019-11-07,2019-11-09,2019-11-09,Day,42.2
3,2019-11-07,2019-11-10,2019-11-10,Day,36.54
4,2019-11-07,2019-11-11,2019-11-11,Day,49.08
5,2019-11-07,2019-11-12,2019-11-12,Day,57.63
6,2019-11-07,2019-11-13,2019-11-13,Day,58.76
7,2019-11-07,2019-11-01,2019-11-29,Month,56.01
8,2019-11-07,2019-12-02,2019-12-31,Month,60.35
9,2019-11-07,2020-01-01,2020-01-31,Month,70.93
10,2019-11-07,2020-02-03,2020-02-28,Month,73.91
11,2019-11-07,2020-01-01,2020-03-31,Quarter,67.57
12,2019-11-07,2020-04-01,2020-06-30,Quarter,49.9
13,2019-11-07,2020-07-01,2020-09-30,Quarter,51.62
14,2019-11-07,2020-10-01,2020-12-31,Quarter,72.34
15,2019-11-07,2021-01-01,2021-03-31,Quarter,74.8
16,2019-11-07,2021-04-01,2021-06-30,Quarter,50.19
17,2019-11-07,2021-07-01,2021-09-30,Quarter,51.89
18,2019-11-07,2019-11-04,2019-11-08,Week,52.8
19,2019-11-07,2019-11-11,2019-11-15,Week,56.46
20,2019-11-07,2019-11-18,2019-11-22,Week,57.46
21,2019-11-07,2019-11-25,2019-11-29,Week,61.83
22,2019-11-07,2019-12-02,2019-12-06,Week,66.25
23,2019-11-07,2020-01-01,2020-12-31,Year,60.37
24,2019-11-07,2021-01-01,2021-12-31,Year,62.29
25,2019-11-07,2022-01-03,2022-12-30,Year,62.57
26,2019-11-07,2023-01-02,2023-12-29,Year,63.42
