,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2020-04-02,2020-04-02,2020-04-02,Day,21.86
1,2020-04-02,2020-04-03,2020-04-03,Day,22.11
2,2020-04-02,2020-04-04,2020-04-04,Day,17.0
3,2020-04-02,2020-04-05,2020-04-05,Day,2.5
4,2020-04-02,2020-04-06,2020-04-06,Day,10.38
5,2020-04-02,2020-04-07,2020-04-07,Day,18.48
6,2020-04-02,2020-04-08,2020-04-08,Day,18.48
7,2020-04-02,2020-04-01,2020-04-30,Month,12.96
8,2020-04-02,2020-05-01,2020-05-31,Month,15.7
9,2020-04-02,2020-06-01,2020-06-30,Month,20.27
10,2020-04-02,2020-07-01,2020-07-31,Month,23.68
11,2020-04-02,2020-08-01,2020-08-31,Month,22.09
12,2020-04-02,2020-09-01,2020-09-30,Month,31.33
13,2020-04-02,2020-10-01,2020-10-31,Month,36.42
14,2020-04-02,2020-07-01,2020-09-30,Quarter,25.64
15,2020-04-02,2020-10-01,2020-12-31,Quarter,42.79
16,2020-04-02,2021-01-01,2021-03-31,Quarter,45.8
17,2020-04-02,2021-04-01,2021-06-30,Quarter,31.57
18,2020-04-02,2021-07-01,2021-09-30,Quarter,33.23
19,2020-04-02,2021-10-01,2021-12-31,Quarter,47.7
20,2020-04-02,2020-03-30,2020-04-05,Week,18.6
21,2020-04-02,2020-04-06,2020-04-12,Week,10.93
22,2020-04-02,2020-04-13,2020-04-19,Week,11.0
23,2020-04-02,2020-04-20,2020-04-26,Week,13.7
24,2020-04-02,2020-04-27,2020-05-03,Week,12.43
25,2020-04-02,2020-04-04,2020-04-05,Weekend,9.75
26,2020-04-02,2021-01-01,2021-12-31,Year,39.56
27,2020-04-02,2022-01-01,2022-12-31,Year,42.81
28,2020-04-02,2023-01-01,2023-12-31,Year,43.12
