,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2019-09-06,2019-09-06,2019-09-06,Day,34.38
1,2019-09-06,2019-09-07,2019-09-07,Day,33.6
2,2019-09-06,2019-09-08,2019-09-08,Day,27.96
3,2019-09-06,2019-09-09,2019-09-09,Day,44.98
4,2019-09-06,2019-09-10,2019-09-10,Day,41.65
5,2019-09-06,2019-09-11,2019-09-11,Day,40.82
6,2019-09-06,2019-09-12,2019-09-12,Day,40.4
7,2019-09-06,2019-09-02,2019-09-30,Month,40.95
8,2019-09-06,2019-10-01,2019-10-31,Month,51.61
9,2019-09-06,2019-11-01,2019-11-29,Month,68.77
10,2019-09-06,2019-12-02,2019-12-31,Month,71.8
11,2019-09-06,2019-10-01,2019-12-31,Quarter,63.8
12,2019-09-06,2020-01-01,2020-03-31,Quarter,68.68
13,2019-09-06,2020-04-01,2020-06-30,Quarter,50.72
14,2019-09-06,2020-07-01,2020-09-30,Quarter,52.1
15,2019-09-06,2020-10-01,2020-12-31,Quarter,72.54
16,2019-09-06,2019-09-02,2019-09-06,Week,36.92
17,2019-09-06,2019-09-09,2019-09-13,Week,42.0
18,2019-09-06,2019-09-16,2019-09-20,Week,42.0
19,2019-09-06,2019-09-23,2019-09-27,Week,42.38
20,2019-09-06,2019-09-30,2019-10-04,Week,42.75
21,2019-09-06,2019-09-07,2019-09-08,Weekend,30.78
22,2019-09-06,2020-01-01,2020-12-31,Year,61.02
23,2019-09-06,2021-01-01,2021-12-31,Year,62.12
24,2019-09-06,2022-01-03,2022-12-30,Year,62.27
25,2019-09-06,2023-01-02,2023-12-29,Year,63.39
