,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2016-02-23,2016-02-23,2016-02-23,Day,30.21
1,2016-02-23,2016-02-24,2016-02-24,Day,29.65
2,2016-02-23,2016-02-25,2016-02-25,Day,30.5
3,2016-02-23,2016-02-26,2016-02-26,Day,32.0
4,2016-02-23,2016-02-01,2016-02-29,Month,25.88
5,2016-02-23,2016-03-01,2016-03-31,Month,27.03
6,2016-02-23,2016-04-01,2016-04-30,Month,25.3
7,2016-02-23,2016-05-01,2016-05-31,Month,20.55
8,2016-02-23,2016-06-01,2016-06-30,Month,22.32
9,2016-02-23,2016-07-01,2016-07-31,Month,23.48
10,2016-02-23,2016-04-01,2016-06-30,Quarter,22.7
11,2016-02-23,2016-07-01,2016-09-30,Quarter,22.7
12,2016-02-23,2016-10-01,2016-12-31,Quarter,30.31
13,2016-02-23,2017-01-01,2017-03-31,Quarter,31.26
14,2016-02-23,2017-04-01,2017-06-30,Quarter,21.97
15,2016-02-23,2017-07-01,2017-09-30,Quarter,21.77
16,2016-02-23,2017-10-01,2017-12-31,Quarter,30.22
17,2016-02-23,2016-02-22,2016-02-28,Week,27.11
18,2016-02-23,2016-02-29,2016-03-06,Week,29.25
19,2016-02-23,2016-03-07,2016-03-13,Week,29.75
20,2016-02-23,2016-03-14,2016-03-20,Week,28.25
21,2016-02-23,2016-03-21,2016-03-27,Week,24.13
22,2016-02-23,2016-02-27,2016-02-28,Weekend,22.75
23,2016-02-23,2016-03-05,2016-03-06,Weekend,23.73
24,2016-02-23,2017-01-01,2018-01-01,Year,26.29
25,2016-02-23,2018-01-01,2019-01-01,Year,26.0
26,2016-02-23,2019-01-01,2019-12-31,Year,25.81
