,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2016-10-31,2016-10-29,2016-10-29,Day,52.12
1,2016-10-31,2016-10-30,2016-10-30,Day,40.95
2,2016-10-31,2016-10-31,2016-10-31,Day,48.95
3,2016-10-31,2016-11-01,2016-11-01,Day,47.63
4,2016-10-31,2016-11-02,2016-11-02,Day,75.25
5,2016-10-31,2016-11-01,2016-11-30,Month,98.33
6,2016-10-31,2016-12-01,2016-12-31,Month,96.75
7,2016-10-31,2017-01-01,2017-01-31,Month,100.36
8,2016-10-31,2017-02-01,2017-02-28,Month,83.0
9,2016-10-31,2017-03-01,2017-03-31,Month,51.81
10,2016-10-31,2017-04-01,2017-04-30,Month,39.79
11,2016-10-31,2017-01-01,2017-03-31,Quarter,78.25
12,2016-10-31,2017-04-01,2017-06-30,Quarter,32.25
13,2016-10-31,2017-07-01,2017-09-30,Quarter,29.42
14,2016-10-31,2017-10-01,2017-12-31,Quarter,40.57
15,2016-10-31,2018-01-01,2018-03-31,Quarter,49.52
16,2016-10-31,2016-10-24,2016-10-30,Week,62.16
17,2016-10-31,2016-10-31,2016-11-06,Week,66.26
18,2016-10-31,2016-11-07,2016-11-13,Week,127.0
19,2016-10-31,2016-11-14,2016-11-20,Week,95.0
20,2016-10-31,2016-11-21,2016-11-27,Week,99.0
21,2016-10-31,2016-11-28,2016-12-04,Week,96.0
22,2016-10-31,2016-10-29,2016-10-30,Weekend,46.42
23,2016-10-31,2016-11-05,2016-11-06,Weekend,0.01
24,2016-10-31,2017-01-01,2018-01-01,Year,44.97
25,2016-10-31,2018-01-01,2019-01-01,Year,36.98
26,2016-10-31,2019-01-01,2020-01-01,Year,37.59
27,2016-10-31,2020-01-01,2021-01-01,Year,38.55
