,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2016-05-24,2016-05-24,2016-05-24,Day,29.86
1,2016-05-24,2016-05-25,2016-05-25,Day,31.43
2,2016-05-24,2016-05-26,2016-05-26,Day,29.5
3,2016-05-24,2016-05-27,2016-05-27,Day,28.25
4,2016-05-24,2016-05-01,2016-05-31,Month,23.95
5,2016-05-24,2016-06-01,2016-06-30,Month,24.4
6,2016-05-24,2016-07-01,2016-07-31,Month,24.41
7,2016-05-24,2016-08-01,2016-08-31,Month,23.38
8,2016-05-24,2016-09-01,2016-09-30,Month,27.9
9,2016-05-24,2016-07-01,2016-09-30,Quarter,25.2
10,2016-05-24,2016-10-01,2016-12-31,Quarter,32.95
11,2016-05-24,2017-01-01,2017-03-31,Quarter,35.53
12,2016-05-24,2017-04-01,2017-06-30,Quarter,25.08
13,2016-05-24,2017-07-01,2017-09-30,Quarter,25.0
14,2016-05-24,2017-10-01,2017-12-31,Quarter,34.06
15,2016-05-24,2018-01-01,2018-03-31,Quarter,36.09
16,2016-05-24,2016-05-23,2016-05-29,Week,26.09
17,2016-05-24,2016-05-30,2016-06-05,Week,24.25
18,2016-05-24,2016-06-06,2016-06-12,Week,24.0
19,2016-05-24,2016-06-13,2016-06-19,Week,24.25
20,2016-05-24,2016-06-20,2016-06-26,Week,24.3
21,2016-05-24,2016-05-28,2016-05-29,Weekend,16.52
22,2016-05-24,2016-06-04,2016-06-05,Weekend,16.5
23,2016-05-24,2017-01-01,2018-01-01,Year,29.9
24,2016-05-24,2018-01-01,2019-01-01,Year,30.28
25,2016-05-24,2019-01-01,2019-12-31,Year,31.02
