,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2022-05-17,2022-05-17,2022-05-17,Day,233.78
1,2022-05-17,2022-05-18,2022-05-18,Day,217.66
2,2022-05-17,2022-05-19,2022-05-19,Day,212.87
3,2022-05-17,2022-05-20,2022-05-20,Day,217.5
4,2022-05-17,2022-05-21,2022-05-21,Day,161.94
5,2022-05-17,2022-05-22,2022-05-22,Day,142.88
6,2022-05-17,2022-05-23,2022-05-23,Day,225.17
7,2022-05-17,2022-05-02,2022-05-31,Month,209.5
8,2022-05-17,2022-06-01,2022-06-30,Month,246.0
9,2022-05-17,2022-07-01,2022-07-29,Month,276.67
10,2022-05-17,2022-08-01,2022-08-31,Month,275.0
11,2022-05-17,2022-07-01,2022-09-30,Quarter,305.48
12,2022-05-17,2022-10-03,2022-12-30,Quarter,865.5
13,2022-05-17,2023-01-02,2023-03-31,Quarter,1000.86
14,2022-05-17,2023-04-03,2023-06-30,Quarter,261.11
15,2022-05-17,2023-07-03,2023-09-29,Quarter,262.36
16,2022-05-17,2023-10-02,2023-12-29,Quarter,595.68
17,2022-05-17,2024-01-01,2024-03-29,Quarter,609.36
18,2022-05-17,2022-05-16,2022-05-20,Week,221.84
19,2022-05-17,2022-05-23,2022-05-27,Week,191.4
20,2022-05-17,2022-05-30,2022-06-03,Week,218.2
21,2022-05-17,2022-06-06,2022-06-10,Week,211.4
22,2022-05-17,2022-06-13,2022-06-17,Week,241.0
23,2022-05-17,2023-01-02,2023-12-29,Year,530.0
24,2022-05-17,2024-01-01,2024-12-31,Year,386.25
25,2022-05-17,2025-01-01,2025-12-31,Year,309.63
