,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2017-06-20,2017-06-20,2017-06-20,Day,42.06
1,2017-06-20,2017-06-21,2017-06-21,Day,52.22
2,2017-06-20,2017-06-22,2017-06-22,Day,46.38
3,2017-06-20,2017-06-23,2017-06-23,Day,37.75
4,2017-06-20,2017-06-01,2017-06-30,Month,37.93
5,2017-06-20,2017-07-03,2017-07-31,Month,41.89
6,2017-06-20,2017-08-01,2017-08-31,Month,39.09
7,2017-06-20,2017-09-01,2017-09-29,Month,46.22
8,2017-06-20,2017-07-03,2017-09-29,Quarter,42.3
9,2017-06-20,2017-10-02,2017-12-29,Quarter,59.25
10,2017-06-20,2018-01-01,2018-03-30,Quarter,57.35
11,2017-06-20,2018-04-02,2018-06-29,Quarter,39.0
12,2017-06-20,2017-06-19,2017-06-23,Week,43.73
13,2017-06-20,2017-06-26,2017-06-30,Week,39.5
14,2017-06-20,2017-07-03,2017-07-07,Week,39.75
15,2017-06-20,2017-07-10,2017-07-14,Week,38.75
16,2017-06-20,2017-07-17,2017-07-21,Week,42.5
17,2017-06-20,2017-06-24,2017-06-25,Weekend,0.01
18,2017-06-20,2017-07-01,2017-07-02,Weekend,0.01
19,2017-06-20,2018-01-01,2019-01-01,Year,47.9
20,2017-06-20,2019-01-01,2020-01-01,Year,49.52
21,2017-06-20,2020-01-01,2021-01-01,Year,51.27
22,2017-06-20,2021-01-01,2022-01-01,Year,52.12
