,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2024-04-30,2024-04-30,2024-05-01,Day,58.89
1,2024-04-30,2024-05-01,2024-05-02,Day,13.94
2,2024-04-30,2024-05-02,2024-05-03,Day,25.00
3,2024-04-30,2024-05-03,2024-05-04,Day,40.00
4,2024-04-30,2024-05-04,2024-05-05,Day,34.80
5,2024-04-30,2024-05-05,2024-05-06,Day,23.24
6,2024-04-30,2024-05-06,2024-05-07,Day,33.65
7,2024-04-30,2024-05-01,2024-06-01,Month,32.22
8,2024-04-30,2024-06-01,2024-07-01,Month,40.06
9,2024-04-30,2024-07-01,2024-08-01,Month,52.70
10,2024-04-30,2024-08-01,2024-09-01,Month,50.13
11,2024-04-30,2024-09-01,2024-10-01,Month,65.05
12,2024-04-30,2024-10-01,2024-11-01,Month,70.94
13,2024-04-30,2024-11-01,2024-12-01,Month,95.73
14,2024-04-30,2024-12-01,2025-01-01,Month,101.76
15,2024-04-30,2025-01-01,2025-02-01,Month,114.54
16,2024-04-30,2024-07-01,2024-10-01,Quarter,55.86
17,2024-04-30,2024-10-01,2025-01-01,Quarter,89.40
18,2024-04-30,2025-01-01,2025-04-01,Quarter,100.05
19,2024-04-30,2025-04-01,2025-07-01,Quarter,58.81
20,2024-04-30,2025-07-01,2025-10-01,Quarter,67.89
21,2024-04-30,2025-10-01,2026-01-01,Quarter,91.72
22,2024-04-30,2026-01-01,2026-04-01,Quarter,93.05
23,2024-04-30,2026-04-01,2026-07-01,Quarter,38.76
24,2024-04-30,2026-07-01,2026-10-01,Quarter,38.17
25,2024-04-30,2026-10-01,2027-01-01,Quarter,81.24
26,2024-04-30,2027-01-01,2027-04-01,Quarter,77.62
27,2024-04-30,2024-04-29,2024-05-06,Week,36.73
28,2024-04-30,2024-05-06,2024-05-13,Week,28.01
29,2024-04-30,2024-05-13,2024-05-20,Week,34.78
30,2024-04-30,2024-05-20,2024-05-27,Week,32.58
31,2024-04-30,2024-05-27,2024-06-03,Week,36.45
32,2024-04-30,2024-05-04,2024-05-06,Weekend,29.02
33,2024-04-30,2025-01-01,2026-01-01,Year,79.56
34,2024-04-30,2026-01-01,2027-01-01,Year,62.70
35,2024-04-30,2027-01-01,2028-01-01,Year,59.88
36,2024-04-30,2028-01-01,2029-01-01,Year,60.81
37,2024-04-30,2029-01-01,2030-01-01,Year,62.82
