,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2023-04-12,2023-04-12,2023-04-13,Day,105.55
1,2023-04-12,2023-04-13,2023-04-14,Day,116.85
2,2023-04-12,2023-04-14,2023-04-15,Day,129.50
3,2023-04-12,2023-04-15,2023-04-16,Day,109.93
4,2023-04-12,2023-04-16,2023-04-17,Day,99.45
5,2023-04-12,2023-04-17,2023-04-18,Day,123.00
6,2023-04-12,2023-04-18,2023-04-19,Day,112.00
7,2023-04-12,2023-04-01,2023-05-01,Month,108.99
8,2023-04-12,2023-05-01,2023-06-01,Month,112.51
9,2023-04-12,2023-06-01,2023-07-01,Month,121.07
10,2023-04-12,2023-07-01,2023-08-01,Month,131.50
11,2023-04-12,2023-08-01,2023-09-01,Month,122.57
12,2023-04-12,2023-09-01,2023-10-01,Month,153.58
13,2023-04-12,2023-10-01,2023-11-01,Month,212.65
14,2023-04-12,2023-07-01,2023-10-01,Quarter,135.69
15,2023-04-12,2023-10-01,2024-01-01,Quarter,308.58
16,2023-04-12,2024-01-01,2024-04-01,Quarter,437.22
17,2023-04-12,2024-04-01,2024-07-01,Quarter,137.26
18,2023-04-12,2024-07-01,2024-10-01,Quarter,137.87
19,2023-04-12,2024-10-01,2025-01-01,Quarter,202.88
20,2023-04-12,2025-01-01,2025-04-01,Quarter,203.38
21,2023-04-12,2025-04-01,2025-07-01,Quarter,101.29
22,2023-04-12,2025-07-01,2025-10-01,Quarter,92.60
23,2023-04-12,2023-04-10,2023-04-17,Week,100.89
24,2023-04-12,2023-04-17,2023-04-24,Week,107.88
25,2023-04-12,2023-04-24,2023-05-01,Week,114.58
26,2023-04-12,2023-05-01,2023-05-08,Week,110.00
27,2023-04-12,2023-05-08,2023-05-15,Week,113.50
28,2023-04-12,2023-04-15,2023-04-17,Weekend,104.69
29,2023-04-12,2024-01-01,2025-01-01,Year,228.46
30,2023-04-12,2025-01-01,2026-01-01,Year,143.55
31,2023-04-12,2026-01-01,2027-01-01,Year,119.95
32,2023-04-12,2027-01-01,2028-01-01,Year,107.18
33,2023-04-12,2028-01-01,2029-01-01,Year,93.97
