,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2024-06-19,2024-06-19,2024-06-20,Day,57.39
1,2024-06-19,2024-06-20,2024-06-21,Day,79.24
2,2024-06-19,2024-06-21,2024-06-22,Day,64.50
3,2024-06-19,2024-06-22,2024-06-23,Day,24.60
4,2024-06-19,2024-06-23,2024-06-24,Day,17.40
5,2024-06-19,2024-06-24,2024-06-25,Day,52.76
6,2024-06-19,2024-06-25,2024-06-26,Day,60.69
7,2024-06-19,2024-06-26,2024-06-27,Day,61.27
8,2024-06-19,2024-06-27,2024-06-28,Day,57.40
9,2024-06-19,2024-06-28,2024-06-29,Day,57.79
10,2024-06-19,2024-06-29,2024-06-30,Day,18.72
11,2024-06-19,2024-06-30,2024-07-01,Day,13.24
12,2024-06-19,2024-06-01,2024-07-01,Month,34.78
13,2024-06-19,2024-07-01,2024-08-01,Month,47.01
14,2024-06-19,2024-08-01,2024-09-01,Month,46.31
15,2024-06-19,2024-09-01,2024-10-01,Month,63.32
16,2024-06-19,2024-10-01,2024-11-01,Month,69.91
17,2024-06-19,2024-11-01,2024-12-01,Month,94.68
18,2024-06-19,2024-12-01,2025-01-01,Month,94.25
19,2024-06-19,2025-01-01,2025-02-01,Month,108.85
20,2024-06-19,2025-02-01,2025-03-01,Month,109.46
21,2024-06-19,2025-03-01,2025-04-01,Month,79.87
22,2024-06-19,2024-07-01,2024-10-01,Quarter,52.09
23,2024-06-19,2024-10-01,2025-01-01,Quarter,86.18
24,2024-06-19,2025-01-01,2025-04-01,Quarter,99.07
25,2024-06-19,2025-04-01,2025-07-01,Quarter,46.76
26,2024-06-19,2025-07-01,2025-10-01,Quarter,55.09
27,2024-06-19,2025-10-01,2026-01-01,Quarter,83.31
28,2024-06-19,2026-01-01,2026-04-01,Quarter,93.08
29,2024-06-19,2026-04-01,2026-07-01,Quarter,35.17
30,2024-06-19,2026-07-01,2026-10-01,Quarter,43.17
31,2024-06-19,2026-10-01,2027-01-01,Quarter,76.73
32,2024-06-19,2027-01-01,2027-04-01,Quarter,78.66
33,2024-06-19,2024-06-17,2024-06-24,Week,44.47
34,2024-06-19,2024-06-24,2024-07-01,Week,45.98
35,2024-06-19,2024-07-01,2024-07-08,Week,45.75
36,2024-06-19,2024-07-08,2024-07-15,Week,41.55
37,2024-06-19,2024-07-15,2024-07-22,Week,46.54
38,2024-06-19,2024-06-22,2024-06-24,Weekend,21.00
39,2024-06-19,2024-06-29,2024-07-01,Weekend,15.98
40,2024-06-19,2025-01-01,2026-01-01,Year,70.97
41,2024-06-19,2026-01-01,2027-01-01,Year,61.94
42,2024-06-19,2027-01-01,2028-01-01,Year,59.36
43,2024-06-19,2028-01-01,2029-01-01,Year,61.81
44,2024-06-19,2029-01-01,2030-01-01,Year,62.25
