,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2023-02-28,2023-02-28,2023-03-01,Day,160.77
1,2023-02-28,2023-03-01,2023-03-02,Day,152.81
2,2023-02-28,2023-03-02,2023-03-03,Day,155.88
3,2023-02-28,2023-03-03,2023-03-04,Day,151.00
4,2023-02-28,2023-03-04,2023-03-05,Day,147.68
5,2023-02-28,2023-03-05,2023-03-06,Day,136.32
6,2023-02-28,2023-03-06,2023-03-07,Day,142.27
7,2023-02-28,2023-03-01,2023-04-01,Month,134.85
8,2023-02-28,2023-04-01,2023-05-01,Month,129.06
9,2023-02-28,2023-05-01,2023-06-01,Month,127.08
10,2023-02-28,2023-06-01,2023-07-01,Month,137.72
11,2023-02-28,2023-07-01,2023-08-01,Month,144.27
12,2023-02-28,2023-08-01,2023-09-01,Month,134.71
13,2023-02-28,2023-09-01,2023-10-01,Month,154.43
14,2023-02-28,2023-04-01,2023-07-01,Quarter,131.24
15,2023-02-28,2023-07-01,2023-10-01,Quarter,144.36
16,2023-02-28,2023-10-01,2024-01-01,Quarter,209.15
17,2023-02-28,2024-01-01,2024-04-01,Quarter,246.70
18,2023-02-28,2024-04-01,2024-07-01,Quarter,117.43
19,2023-02-28,2024-07-01,2024-10-01,Quarter,117.93
20,2023-02-28,2024-10-01,2025-01-01,Quarter,184.10
21,2023-02-28,2025-01-01,2025-04-01,Quarter,199.06
22,2023-02-28,2025-04-01,2025-07-01,Quarter,84.81
23,2023-02-28,2025-07-01,2025-10-01,Quarter,83.40
24,2023-02-28,2023-02-27,2023-03-06,Week,151.34
25,2023-02-28,2023-03-06,2023-03-13,Week,141.54
26,2023-02-28,2023-03-13,2023-03-20,Week,124.79
27,2023-02-28,2023-03-20,2023-03-27,Week,129.29
28,2023-02-28,2023-03-27,2023-04-03,Week,126.54
29,2023-02-28,2023-03-04,2023-03-06,Weekend,142.00
30,2023-02-28,2023-03-11,2023-03-13,Weekend,120.05
31,2023-02-28,2024-01-01,2025-01-01,Year,166.45
32,2023-02-28,2025-01-01,2026-01-01,Year,128.43
33,2023-02-28,2026-01-01,2027-01-01,Year,114.49
34,2023-02-28,2027-01-01,2028-01-01,Year,111.23
35,2023-02-28,2028-01-01,2029-01-01,Year,100.90
