,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2017-05-05,2017-05-05,2017-05-05,Day,39.54
1,2017-05-05,2017-05-06,2017-05-06,Day,33.38
2,2017-05-05,2017-05-07,2017-05-07,Day,28.88
3,2017-05-05,2017-05-08,2017-05-08,Day,31.25
4,2017-05-05,2017-05-01,2017-05-31,Month,34.1
5,2017-05-05,2017-06-01,2017-06-30,Month,33.18
6,2017-05-05,2017-07-01,2017-07-31,Month,34.27
7,2017-05-05,2017-08-01,2017-08-31,Month,31.35
8,2017-05-05,2017-09-01,2017-09-30,Month,34.9
9,2017-05-05,2017-10-01,2017-10-31,Month,40.31
10,2017-05-05,2017-07-01,2017-09-30,Quarter,33.49
11,2017-05-05,2017-10-01,2017-12-31,Quarter,42.73
12,2017-05-05,2018-01-01,2018-03-31,Quarter,43.88
13,2017-05-05,2018-04-01,2018-06-30,Quarter,28.05
14,2017-05-05,2018-07-01,2018-09-30,Quarter,28.55
15,2017-05-05,2018-10-01,2018-12-31,Quarter,41.61
16,2017-05-05,2017-05-01,2017-05-07,Week,36.27
17,2017-05-05,2017-05-08,2017-05-14,Week,34.82
18,2017-05-05,2017-05-15,2017-05-21,Week,33.57
19,2017-05-05,2017-05-22,2017-05-28,Week,32.0
20,2017-05-05,2017-05-29,2017-06-04,Week,33.5
21,2017-05-05,2017-05-06,2017-05-07,Weekend,31.13
22,2017-05-05,2017-05-13,2017-05-14,Weekend,0.01
23,2017-05-05,2018-01-01,2019-01-01,Year,35.5
24,2017-05-05,2019-01-01,2020-01-01,Year,34.58
25,2017-05-05,2020-01-01,2021-01-01,Year,36.13
