,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2015-12-16,2015-12-16,2015-12-16,Day,38.37
1,2015-12-16,2015-12-17,2015-12-17,Day,33.51
2,2015-12-16,2015-12-18,2015-12-18,Day,32.5
3,2015-12-16,2015-12-19,2015-12-19,Day,26.16
4,2015-12-16,2015-12-01,2015-12-31,Month,34.18
5,2015-12-16,2016-01-01,2016-01-31,Month,37.04
6,2015-12-16,2016-02-01,2016-02-29,Month,39.83
7,2015-12-16,2016-03-01,2016-03-31,Month,36.42
8,2015-12-16,2016-04-01,2016-04-30,Month,34.75
9,2015-12-16,2016-01-01,2016-03-31,Quarter,37.72
10,2015-12-16,2016-04-01,2016-06-30,Quarter,30.87
11,2015-12-16,2016-07-01,2016-09-30,Quarter,29.61
12,2015-12-16,2016-10-01,2016-12-31,Quarter,37.8
13,2015-12-16,2017-01-01,2017-03-31,Quarter,38.86
14,2015-12-16,2017-04-01,2017-06-30,Quarter,29.48
15,2015-12-16,2017-07-01,2017-09-30,Quarter,29.16
16,2015-12-16,2015-12-14,2015-12-20,Week,34.77
17,2015-12-16,2015-12-21,2015-12-27,Week,23.0
18,2015-12-16,2015-12-28,2016-01-03,Week,25.25
19,2015-12-16,2016-01-04,2016-01-10,Week,37.13
20,2015-12-16,2016-01-11,2016-01-17,Week,38.0
21,2015-12-16,2015-12-19,2015-12-20,Weekend,22.82
22,2015-12-16,2015-12-26,2015-12-27,Weekend,19.13
23,2015-12-16,2016-01-01,2017-01-01,Year,34.0
24,2015-12-16,2017-01-01,2018-01-01,Year,33.65
25,2015-12-16,2018-01-01,2019-01-01,Year,33.79
