,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2022-01-31,2022-01-29,2022-01-29,Day,219.04
1,2022-01-31,2022-01-30,2022-01-30,Day,229.62
2,2022-01-31,2022-01-31,2022-01-31,Day,233.71
3,2022-01-31,2022-02-01,2022-02-01,Day,221.32
4,2022-01-31,2022-02-02,2022-02-02,Day,252.00
5,2022-01-31,2022-02-03,2022-02-03,Day,240.75
6,2022-01-31,2022-02-04,2022-02-04,Day,220.33
7,2022-01-31,2022-02-05,2022-02-05,Day,193.45
8,2022-01-31,2022-02-06,2022-02-06,Day,160.74
9,2022-01-31,2022-01-03,2022-01-31,Month,255.51
10,2022-01-31,2022-02-01,2022-02-28,Month,292.71
11,2022-01-31,2022-03-01,2022-03-31,Month,351.24
12,2022-01-31,2022-04-01,2022-04-29,Month,247.12
13,2022-01-31,2022-04-01,2022-06-30,Quarter,239.88
14,2022-01-31,2022-07-01,2022-09-30,Quarter,251.09
15,2022-01-31,2022-10-03,2022-12-30,Quarter,359.62
16,2022-01-31,2023-01-02,2023-03-31,Quarter,370.08
17,2022-01-31,2023-04-03,2023-06-30,Quarter,142.36
18,2022-01-31,2023-10-02,2023-12-29,Quarter,240.76
19,2022-01-31,2022-01-24,2022-01-28,Week,295.94
20,2022-01-31,2022-01-31,2022-02-04,Week,233.62
21,2022-01-31,2022-02-07,2022-02-11,Week,288.18
22,2022-01-31,2022-02-14,2022-02-18,Week,308.87
23,2022-01-31,2022-02-21,2022-02-25,Week,312.20
24,2022-01-31,2022-02-28,2022-03-04,Week,347.60
25,2022-01-31,2022-01-29,2022-01-30,Weekend,224.33
26,2022-01-31,2023-01-02,2023-12-30,Year,224.37
27,2022-01-31,2024-01-01,2025-01-01,Year,166.15
28,2022-01-31,2025-01-01,2026-01-01,Year,133.92
