,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2021-06-22,2021-06-22,2021-06-23,Day,88.36
1,2021-06-22,2021-06-23,2021-06-24,Day,89.85
2,2021-06-22,2021-06-24,2021-06-25,Day,92.4
3,2021-06-22,2021-06-25,2021-06-26,Day,86.6
4,2021-06-22,2021-06-26,2021-06-27,Day,73.61
5,2021-06-22,2021-06-27,2021-06-28,Day,48.95
6,2021-06-22,2021-06-28,2021-06-29,Day,83.95
7,2021-06-22,2021-06-01,2021-07-01,Month,80.78
8,2021-06-22,2021-07-01,2021-07-31,Month,85.11
9,2021-06-22,2021-08-02,2021-09-01,Month,80.38
10,2021-06-22,2021-09-01,2021-10-01,Month,85.25
11,2021-06-22,2021-07-01,2021-10-01,Quarter,83.58
12,2021-06-22,2021-10-01,2022-01-01,Quarter,108.5
13,2021-06-22,2022-01-03,2022-04-01,Quarter,108.55
14,2021-06-22,2022-04-01,2022-07-01,Quarter,64.8
15,2021-06-22,2022-07-01,2022-10-01,Quarter,66.93
16,2021-06-22,2023-04-03,2023-07-01,Quarter,63.03
17,2021-06-22,2021-06-21,2021-06-26,Week,87.76
18,2021-06-22,2021-06-28,2021-07-03,Week,84.8
19,2021-06-22,2021-07-05,2021-07-10,Week,83.63
20,2021-06-22,2021-07-12,2021-07-17,Week,84.06
21,2021-06-22,2021-07-19,2021-07-24,Week,87.64
22,2021-06-22,2022-01-03,2022-12-31,Year,83.42
23,2021-06-22,2023-01-02,2023-12-30,Year,74.47
24,2021-06-22,2024-01-01,2025-01-01,Year,72.68
25,2021-06-22,2025-01-01,2026-01-01,Year,73.62
