,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2024-06-26,2024-06-26,2024-06-27,Day,4.37
1,2024-06-26,2024-06-27,2024-06-28,Day,54.37
2,2024-06-26,2024-06-28,2024-06-29,Day,47.50
3,2024-06-26,2024-06-29,2024-06-30,Day,10.16
4,2024-06-26,2024-06-30,2024-07-01,Day,4.38
5,2024-06-26,2024-07-01,2024-07-02,Day,46.80
6,2024-06-26,2024-07-02,2024-07-03,Day,46.80
7,2024-06-26,2024-07-03,2024-07-04,Day,46.80
8,2024-06-26,2024-07-04,2024-07-05,Day,46.80
9,2024-06-26,2024-07-05,2024-07-06,Day,46.80
10,2024-06-26,2024-07-06,2024-07-07,Day,6.08
11,2024-06-26,2024-07-07,2024-07-08,Day,2.62
12,2024-06-26,2024-06-03,2024-07-01,Month,34.46
13,2024-06-26,2024-07-01,2024-08-01,Month,56.58
14,2024-06-26,2024-08-01,2024-09-01,Month,53.25
15,2024-06-26,2024-09-02,2024-10-01,Month,74.12
16,2024-06-26,2024-10-01,2024-11-01,Month,79.36
17,2024-06-26,2024-11-01,2024-12-01,Month,119.72
18,2024-06-26,2024-07-01,2024-10-01,Quarter,61.05
19,2024-06-26,2024-10-01,2025-01-01,Quarter,109.48
20,2024-06-26,2025-01-01,2025-04-01,Quarter,120.67
21,2024-06-26,2025-04-01,2025-07-01,Quarter,51.93
22,2024-06-26,2025-07-01,2025-10-01,Quarter,65.11
23,2024-06-26,2025-10-01,2026-01-01,Quarter,108.62
24,2024-06-26,2026-01-01,2026-04-01,Quarter,115.20
25,2024-06-26,2026-04-01,2026-07-01,Quarter,56.54
26,2024-06-26,2026-07-01,2026-10-01,Quarter,58.00
27,2024-06-26,2026-10-01,2027-01-01,Quarter,98.21
28,2024-06-26,2027-01-01,2027-04-01,Quarter,102.97
29,2024-06-26,2024-06-24,2024-06-29,Week,36.39
30,2024-06-26,2024-07-01,2024-07-06,Week,46.80
31,2024-06-26,2024-07-08,2024-07-13,Week,54.88
32,2024-06-26,2024-07-15,2024-07-20,Week,59.00
33,2024-06-26,2024-07-22,2024-07-27,Week,60.50
34,2024-06-26,2025-01-01,2026-01-01,Year,86.45
35,2024-06-26,2026-01-01,2027-01-01,Year,81.83
36,2024-06-26,2027-01-01,2028-01-01,Year,80.37
37,2024-06-26,2028-01-03,2029-01-01,Year,78.26
