,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2016-12-22,2016-12-22,2016-12-22,Day,70.96
1,2016-12-22,2016-12-23,2016-12-23,Day,60.31
2,2016-12-22,2016-12-24,2016-12-24,Day,34.0
3,2016-12-22,2016-12-25,2016-12-25,Day,0.01
4,2016-12-22,2016-12-01,2016-12-30,Month,68.18
5,2016-12-22,2017-01-02,2017-01-31,Month,71.82
6,2016-12-22,2017-02-01,2017-02-28,Month,69.0
7,2016-12-22,2017-03-01,2017-03-31,Month,52.51
8,2016-12-22,2017-01-02,2017-03-31,Quarter,64.12
9,2016-12-22,2017-04-03,2017-06-30,Quarter,41.27
10,2016-12-22,2017-07-03,2017-09-29,Quarter,39.5
11,2016-12-22,2017-10-02,2017-12-29,Quarter,54.87
12,2016-12-22,2016-12-19,2016-12-23,Week,70.99
13,2016-12-22,2016-12-26,2016-12-30,Week,48.38
14,2016-12-22,2017-01-02,2017-01-06,Week,70.0
15,2016-12-22,2017-01-09,2017-01-13,Week,76.0
16,2016-12-22,2017-01-16,2017-01-20,Week,75.0
17,2016-12-22,2016-12-24,2016-12-25,Weekend,0.01
18,2016-12-22,2016-12-31,2017-01-01,Weekend,0.01
19,2016-12-22,2017-01-02,2017-12-30,Year,49.94
20,2016-12-22,2018-01-01,2019-01-01,Year,50.49
21,2016-12-22,2019-01-01,2020-01-01,Year,51.17
