,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2024-09-18,2024-09-18,2024-09-19,Day,43.69
1,2024-09-18,2024-09-19,2024-09-20,Day,47.32
2,2024-09-18,2024-09-20,2024-09-21,Day,62.00
3,2024-09-18,2024-09-21,2024-09-22,Day,30.69
4,2024-09-18,2024-09-22,2024-09-23,Day,25.28
5,2024-09-18,2024-09-23,2024-09-24,Day,63.01
6,2024-09-18,2024-09-24,2024-09-25,Day,62.53
7,2024-09-18,2024-09-25,2024-09-26,Day,48.58
8,2024-09-18,2024-09-26,2024-09-27,Day,38.48
9,2024-09-18,2024-09-27,2024-09-28,Day,27.90
10,2024-09-18,2024-09-28,2024-09-29,Day,19.38
11,2024-09-18,2024-09-29,2024-09-30,Day,15.96
12,2024-09-18,2024-09-02,2024-10-01,Month,58.75
13,2024-09-18,2024-10-01,2024-11-01,Month,71.33
14,2024-09-18,2024-11-01,2024-12-01,Month,101.88
15,2024-09-18,2024-12-02,2025-01-01,Month,105.32
16,2024-09-18,2025-01-01,2025-02-01,Month,119.60
17,2024-09-18,2025-02-03,2025-03-01,Month,118.90
18,2024-09-18,2024-10-01,2025-01-01,Quarter,92.38
19,2024-09-18,2025-01-01,2025-04-01,Quarter,106.04
20,2024-09-18,2025-04-01,2025-07-01,Quarter,56.43
21,2024-09-18,2025-07-01,2025-10-01,Quarter,67.34
22,2024-09-18,2025-10-01,2026-01-01,Quarter,102.43
23,2024-09-18,2026-01-01,2026-04-01,Quarter,109.99
24,2024-09-18,2026-04-01,2026-07-01,Quarter,50.80
25,2024-09-18,2026-07-01,2026-10-01,Quarter,55.13
26,2024-09-18,2026-10-01,2027-01-01,Quarter,101.74
27,2024-09-18,2027-01-01,2027-04-01,Quarter,105.54
28,2024-09-18,2024-09-16,2024-09-21,Week,41.47
29,2024-09-18,2024-09-23,2024-09-28,Week,48.10
30,2024-09-18,2024-09-30,2024-10-05,Week,53.25
31,2024-09-18,2024-10-07,2024-10-12,Week,65.00
32,2024-09-18,2024-10-14,2024-10-19,Week,68.00
33,2024-09-18,2025-01-01,2026-01-01,Year,82.99
34,2024-09-18,2026-01-01,2027-01-01,Year,79.29
35,2024-09-18,2027-01-01,2028-01-01,Year,78.13
36,2024-09-18,2028-01-03,2029-01-01,Year,77.44
