,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2021-08-03,2021-08-03,2021-08-04,Day,90.6
1,2021-08-03,2021-08-04,2021-08-05,Day,91.63
2,2021-08-03,2021-08-05,2021-08-06,Day,84.0
3,2021-08-03,2021-08-06,2021-08-07,Day,56.16
4,2021-08-03,2021-08-07,2021-08-08,Day,44.54
5,2021-08-03,2021-08-08,2021-08-09,Day,33.2
6,2021-08-03,2021-08-09,2021-08-10,Day,76.76
7,2021-08-03,2021-08-01,2021-09-01,Month,79.78
8,2021-08-03,2021-09-01,2021-10-01,Month,93.86
9,2021-08-03,2021-10-01,2021-11-01,Month,99.29
10,2021-08-03,2021-11-01,2021-12-01,Month,112.47
11,2021-08-03,2021-12-01,2022-01-01,Month,111.66
12,2021-08-03,2022-01-01,2022-02-01,Month,108.38
13,2021-08-03,2022-02-01,2022-03-01,Month,109.42
14,2021-08-03,2021-10-01,2022-01-01,Quarter,107.75
15,2021-08-03,2022-01-01,2022-04-01,Quarter,102.45
16,2021-08-03,2022-04-01,2022-07-01,Quarter,65.28
17,2021-08-03,2022-07-01,2022-10-01,Quarter,66.89
18,2021-08-03,2022-10-01,2023-01-01,Quarter,80.75
19,2021-08-03,2023-01-01,2023-04-01,Quarter,80.14
20,2021-08-03,2023-04-01,2023-07-01,Quarter,51.52
21,2021-08-03,2023-07-01,2023-10-01,Quarter,56.98
22,2021-08-03,2021-08-02,2021-08-09,Week,68.69
23,2021-08-03,2021-08-09,2021-08-16,Week,75.99
24,2021-08-03,2021-08-16,2021-08-23,Week,82.87
25,2021-08-03,2021-08-23,2021-08-30,Week,91.07
26,2021-08-03,2021-08-30,2021-09-06,Week,91.68
27,2021-08-03,2021-08-07,2021-08-09,Weekend,38.87
28,2021-08-03,2022-01-01,2023-01-01,Year,78.75
29,2021-08-03,2023-01-01,2024-01-01,Year,64.69
30,2021-08-03,2024-01-01,2025-01-01,Year,59.11
31,2021-08-03,2025-01-01,2026-01-01,Year,58.92
