,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2017-06-06,2017-06-06,2017-06-06,Day,25.49
1,2017-06-06,2017-06-07,2017-06-07,Day,25.62
2,2017-06-06,2017-06-08,2017-06-08,Day,34.5
3,2017-06-06,2017-06-09,2017-06-09,Day,35.75
4,2017-06-06,2017-06-01,2017-06-30,Month,35.53
5,2017-06-06,2017-07-03,2017-07-31,Month,40.51
6,2017-06-06,2017-08-01,2017-08-31,Month,38.68
7,2017-06-06,2017-09-01,2017-09-29,Month,46.95
8,2017-06-06,2017-07-03,2017-09-29,Quarter,41.94
9,2017-06-06,2017-10-02,2017-12-29,Quarter,54.35
10,2017-06-06,2018-01-01,2018-03-30,Quarter,56.95
11,2017-06-06,2018-04-02,2018-06-29,Quarter,38.05
12,2017-06-06,2017-06-05,2017-06-09,Week,30.16
13,2017-06-06,2017-06-12,2017-06-16,Week,36.0
14,2017-06-06,2017-06-19,2017-06-23,Week,36.5
15,2017-06-06,2017-06-26,2017-06-30,Week,37.45
16,2017-06-06,2017-07-03,2017-07-07,Week,38.75
17,2017-06-06,2017-06-10,2017-06-11,Weekend,0.01
18,2017-06-06,2017-06-17,2017-06-18,Weekend,0.01
19,2017-06-06,2018-01-01,2019-01-01,Year,47.43
20,2017-06-06,2019-01-01,2020-01-01,Year,48.68
21,2017-06-06,2020-01-01,2021-01-01,Year,51.04
22,2017-06-06,2021-01-01,2022-01-01,Year,51.98
