,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2023-10-04,2023-10-04,2023-10-05,Day,84.95
1,2023-10-04,2023-10-05,2023-10-06,Day,95.25
2,2023-10-04,2023-10-06,2023-10-07,Day,82.04
3,2023-10-04,2023-10-07,2023-10-08,Day,59.16
4,2023-10-04,2023-10-08,2023-10-09,Day,58.90
5,2023-10-04,2023-10-09,2023-10-10,Day,88.90
6,2023-10-04,2023-10-10,2023-10-11,Day,93.53
7,2023-10-04,2023-10-02,2023-11-01,Month,92.20
8,2023-10-04,2023-11-01,2023-12-01,Month,121.05
9,2023-10-04,2023-12-01,2024-01-01,Month,137.50
10,2023-10-04,2024-01-01,2024-02-01,Month,166.98
11,2023-10-04,2024-02-01,2024-03-01,Month,168.43
12,2023-10-04,2024-03-01,2024-04-01,Month,128.64
13,2023-10-04,2024-01-01,2024-04-01,Quarter,155.06
14,2023-10-04,2024-04-01,2024-07-01,Quarter,115.72
15,2023-10-04,2024-07-01,2024-10-01,Quarter,124.34
16,2023-10-04,2024-10-01,2025-01-01,Quarter,194.54
17,2023-10-04,2025-01-01,2025-04-01,Quarter,197.98
18,2023-10-04,2025-10-01,2026-01-01,Quarter,192.08
19,2023-10-04,2023-10-02,2023-10-07,Week,82.85
20,2023-10-04,2023-10-09,2023-10-14,Week,92.60
21,2023-10-04,2023-10-16,2023-10-21,Week,91.10
22,2023-10-04,2023-10-23,2023-10-28,Week,98.00
23,2023-10-04,2023-10-30,2023-11-04,Week,103.20
24,2023-10-04,2024-01-01,2025-01-01,Year,147.51
25,2023-10-04,2025-01-01,2026-01-01,Year,153.30
26,2023-10-04,2026-01-01,2027-01-01,Year,140.24
27,2023-10-04,2027-01-01,2028-01-01,Year,110.55
28,2023-10-04,2028-01-03,2029-01-01,Year,103.41
