,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2023-09-28,2023-09-28,2023-09-29,Day,101.52
1,2023-09-28,2023-09-29,2023-09-30,Day,100.83
2,2023-09-28,2023-09-30,2023-10-01,Day,88.14
3,2023-09-28,2023-10-01,2023-10-02,Day,62.14
4,2023-09-28,2023-10-02,2023-10-03,Day,99.23
5,2023-09-28,2023-10-03,2023-10-04,Day,93.61
6,2023-09-28,2023-10-04,2023-10-05,Day,82.72
7,2023-09-28,2023-09-01,2023-10-01,Month,95.34
8,2023-09-28,2023-10-02,2023-11-01,Month,105.78
9,2023-09-28,2023-11-01,2023-12-01,Month,141.13
10,2023-09-28,2023-12-01,2024-01-01,Month,157.00
11,2023-09-28,2024-01-01,2024-02-01,Month,182.80
12,2023-09-28,2024-02-01,2024-03-01,Month,180.98
13,2023-09-28,2024-03-01,2024-04-01,Month,136.71
14,2023-09-28,2024-01-01,2024-04-01,Quarter,167.32
15,2023-09-28,2024-04-01,2024-07-01,Quarter,119.80
16,2023-09-28,2024-07-01,2024-10-01,Quarter,130.32
17,2023-09-28,2024-10-01,2025-01-01,Quarter,207.96
18,2023-09-28,2025-01-01,2025-04-01,Quarter,207.70
19,2023-09-28,2025-10-01,2026-01-01,Quarter,200.86
20,2023-09-28,2023-09-25,2023-09-30,Week,104.18
21,2023-09-28,2023-10-02,2023-10-07,Week,94.80
22,2023-09-28,2023-10-09,2023-10-14,Week,98.90
23,2023-09-28,2023-10-16,2023-10-21,Week,109.20
24,2023-09-28,2023-10-23,2023-10-28,Week,120.23
25,2023-09-28,2024-01-01,2025-01-01,Year,156.45
26,2023-09-28,2025-01-01,2026-01-01,Year,160.31
27,2023-09-28,2026-01-01,2027-01-01,Year,142.53
28,2023-09-28,2027-01-01,2028-01-01,Year,114.95
29,2023-09-28,2028-01-03,2029-01-01,Year,107.20
