,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2020-10-20,2020-10-20,2020-10-21,Day,44.18
1,2020-10-20,2020-10-21,2020-10-22,Day,40.94
2,2020-10-20,2020-10-22,2020-10-23,Day,46.5
3,2020-10-20,2020-10-23,2020-10-24,Day,49.75
4,2020-10-20,2020-10-24,2020-10-25,Day,34.78
5,2020-10-20,2020-10-25,2020-10-26,Day,30.23
6,2020-10-20,2020-10-26,2020-10-27,Day,45.83
7,2020-10-20,2020-10-01,2020-10-31,Month,46.99
8,2020-10-20,2020-11-02,2020-12-01,Month,57.7
9,2020-10-20,2020-12-01,2021-01-01,Month,61.5
10,2020-10-20,2021-01-01,2021-01-30,Month,71.43
11,2020-10-20,2021-01-01,2021-04-01,Quarter,66.92
12,2020-10-20,2021-04-01,2021-07-01,Quarter,43.52
13,2020-10-20,2021-07-01,2021-10-01,Quarter,45.39
14,2020-10-20,2021-10-01,2022-01-01,Quarter,69.81
15,2020-10-20,2022-01-03,2022-04-01,Quarter,73.18
16,2020-10-20,2022-07-01,2022-10-01,Quarter,47.58
17,2020-10-20,2020-10-19,2020-10-24,Week,46.33
18,2020-10-20,2020-10-26,2020-10-31,Week,47.31
19,2020-10-20,2020-11-02,2020-11-07,Week,50.58
20,2020-10-20,2020-11-09,2020-11-14,Week,54.5
21,2020-10-20,2020-11-16,2020-11-21,Week,60.5
22,2020-10-20,2021-01-01,2022-01-01,Year,56.38
23,2020-10-20,2022-01-03,2022-12-31,Year,59.07
24,2020-10-20,2023-01-02,2023-12-30,Year,61.66
25,2020-10-20,2024-01-01,2025-01-01,Year,62.4
