,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2023-07-03,2023-07-01,2023-07-02,Day,40.84
1,2023-07-03,2023-07-03,2023-07-04,Day,67.49
2,2023-07-03,2023-07-04,2023-07-05,Day,97.12
3,2023-07-03,2023-07-05,2023-07-06,Day,91.00
4,2023-07-03,2023-07-06,2023-07-07,Day,101.00
5,2023-07-03,2023-07-07,2023-07-08,Day,104.00
6,2023-07-03,2023-07-08,2023-07-09,Day,75.34
7,2023-07-03,2023-07-09,2023-07-10,Day,59.66
8,2023-07-03,2023-07-01,2023-08-01,Month,89.00
9,2023-07-03,2023-08-01,2023-09-01,Month,96.27
10,2023-07-03,2023-09-01,2023-10-01,Month,108.88
11,2023-07-03,2023-10-01,2023-11-01,Month,118.09
12,2023-07-03,2023-11-01,2023-12-01,Month,177.07
13,2023-07-03,2023-12-01,2024-01-01,Month,189.69
14,2023-07-03,2024-01-01,2024-02-01,Month,265.11
15,2023-07-03,2023-10-01,2024-01-01,Quarter,161.43
16,2023-07-03,2024-01-01,2024-04-01,Quarter,239.00
17,2023-07-03,2024-04-01,2024-07-01,Quarter,115.12
18,2023-07-03,2024-07-01,2024-10-01,Quarter,123.00
19,2023-07-03,2024-10-01,2025-01-01,Quarter,189.57
20,2023-07-03,2025-01-01,2025-04-01,Quarter,223.69
21,2023-07-03,2025-04-01,2025-07-01,Quarter,96.85
22,2023-07-03,2025-07-01,2025-10-01,Quarter,98.94
23,2023-07-03,2025-10-01,2026-01-01,Quarter,160.31
24,2023-07-03,2023-06-26,2023-07-03,Week,78.75
25,2023-07-03,2023-07-03,2023-07-10,Week,85.09
26,2023-07-03,2023-07-10,2023-07-17,Week,91.61
27,2023-07-03,2023-07-17,2023-07-24,Week,97.00
28,2023-07-03,2023-07-24,2023-07-31,Week,101.00
29,2023-07-03,2023-07-31,2023-08-07,Week,94.61
30,2023-07-03,2023-07-01,2023-07-03,Weekend,19.82
31,2023-07-03,2023-07-08,2023-07-10,Weekend,67.50
32,2023-07-03,2024-01-01,2025-01-01,Year,166.61
33,2023-07-03,2025-01-01,2026-01-01,Year,144.64
34,2023-07-03,2026-01-01,2027-01-01,Year,110.38
35,2023-07-03,2027-01-01,2028-01-01,Year,93.38
36,2023-07-03,2028-01-01,2029-01-01,Year,82.75
