,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2020-09-11,2020-09-11,2020-09-12,Day,52.43
1,2020-09-11,2020-09-12,2020-09-13,Day,39.86
2,2020-09-11,2020-09-13,2020-09-14,Day,35.1
3,2020-09-11,2020-09-14,2020-09-15,Day,53.88
4,2020-09-11,2020-09-15,2020-09-16,Day,55.48
5,2020-09-11,2020-09-16,2020-09-17,Day,54.96
6,2020-09-11,2020-09-17,2020-09-18,Day,54.83
7,2020-09-11,2020-09-01,2020-10-01,Month,46.28
8,2020-09-11,2020-10-01,2020-11-01,Month,45.15
9,2020-09-11,2020-11-01,2020-12-01,Month,61.07
10,2020-09-11,2020-12-01,2021-01-01,Month,61.46
11,2020-09-11,2021-01-01,2021-02-01,Month,63.42
12,2020-09-11,2021-02-01,2021-03-01,Month,64.31
13,2020-09-11,2021-03-01,2021-04-01,Month,50.94
14,2020-09-11,2020-10-01,2021-01-01,Quarter,55.83
15,2020-09-11,2021-01-01,2021-04-01,Quarter,59.4
16,2020-09-11,2021-04-01,2021-07-01,Quarter,37.26
17,2020-09-11,2021-07-01,2021-10-01,Quarter,38.75
18,2020-09-11,2021-10-01,2022-01-01,Quarter,54.7
19,2020-09-11,2022-04-01,2022-07-01,Quarter,37.25
20,2020-09-11,2022-07-01,2022-10-01,Quarter,39.5
21,2020-09-11,2020-09-07,2020-09-14,Week,45.75
22,2020-09-11,2020-09-14,2020-09-21,Week,49.0
23,2020-09-11,2020-09-21,2020-09-28,Week,46.0
24,2020-09-11,2020-09-28,2020-10-05,Week,44.5
25,2020-09-11,2020-10-05,2020-10-12,Week,45.0
26,2020-09-11,2020-09-12,2020-09-14,Weekend,37.48
27,2020-09-11,2020-09-19,2020-09-21,Weekend,35.26
28,2020-09-11,2021-01-01,2022-01-01,Year,47.49
29,2020-09-11,2022-01-01,2023-01-01,Year,46.88
30,2020-09-11,2023-01-01,2024-01-01,Year,47.68
31,2020-09-11,2024-01-01,2025-01-01,Year,50.3
