,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2023-06-01,2023-06-01,2023-06-02,Day,59.17
1,2023-06-01,2023-06-02,2023-06-03,Day,66.89
2,2023-06-01,2023-06-03,2023-06-04,Day,45.00
3,2023-06-01,2023-06-04,2023-06-05,Day,30.00
4,2023-06-01,2023-06-05,2023-06-06,Day,66.05
5,2023-06-01,2023-06-06,2023-06-07,Day,66.05
6,2023-06-01,2023-06-07,2023-06-08,Day,66.05
7,2023-06-01,2023-06-01,2023-07-01,Month,74.87
8,2023-06-01,2023-07-03,2023-08-01,Month,82.21
9,2023-06-01,2023-08-01,2023-09-01,Month,79.53
10,2023-06-01,2023-09-01,2023-10-01,Month,108.27
11,2023-06-01,2023-10-02,2023-11-01,Month,111.46
12,2023-06-01,2023-07-03,2023-10-01,Quarter,89.68
13,2023-06-01,2023-10-02,2024-01-01,Quarter,263.20
14,2023-06-01,2024-01-01,2024-04-01,Quarter,459.97
15,2023-06-01,2024-04-01,2024-07-01,Quarter,119.44
16,2023-06-01,2024-07-01,2024-10-01,Quarter,130.19
17,2023-06-01,2024-10-01,2025-01-01,Quarter,275.08
18,2023-06-01,2025-01-01,2025-04-01,Quarter,277.00
19,2023-06-01,2023-05-29,2023-06-03,Week,50.43
20,2023-06-01,2023-06-05,2023-06-10,Week,68.03
21,2023-06-01,2023-06-12,2023-06-17,Week,76.90
22,2023-06-01,2023-06-19,2023-06-24,Week,78.70
23,2023-06-01,2023-06-26,2023-07-01,Week,80.60
24,2023-06-01,2024-01-01,2025-01-01,Year,245.84
25,2023-06-01,2025-01-01,2026-01-01,Year,193.12
26,2023-06-01,2026-01-01,2027-01-01,Year,150.00
