,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2019-03-06,2019-03-06,2019-03-06,Day,35.98
1,2019-03-06,2019-03-07,2019-03-07,Day,32.65
2,2019-03-06,2019-03-08,2019-03-08,Day,39.04
3,2019-03-06,2019-03-09,2019-03-09,Day,28.25
4,2019-03-06,2019-03-10,2019-03-10,Day,23.75
5,2019-03-06,2019-03-11,2019-03-11,Day,38.9
6,2019-03-06,2019-03-12,2019-03-12,Day,41.65
7,2019-03-06,2019-03-01,2019-03-31,Month,39.68
8,2019-03-06,2019-04-01,2019-04-30,Month,42.18
9,2019-03-06,2019-05-01,2019-05-31,Month,42.14
10,2019-03-06,2019-06-01,2019-06-30,Month,44.35
11,2019-03-06,2019-07-01,2019-07-31,Month,46.23
12,2019-03-06,2019-08-01,2019-08-31,Month,43.55
13,2019-03-06,2019-09-01,2019-09-30,Month,50.56
14,2019-03-06,2019-04-01,2019-06-30,Quarter,42.88
15,2019-03-06,2019-07-01,2019-09-30,Quarter,46.74
16,2019-03-06,2019-10-01,2019-12-31,Quarter,61.46
17,2019-03-06,2020-01-01,2020-03-31,Quarter,61.45
18,2019-03-06,2020-04-01,2020-06-30,Quarter,42.34
19,2019-03-06,2020-07-01,2020-09-30,Quarter,43.33
20,2019-03-06,2020-10-01,2020-12-31,Quarter,57.63
21,2019-03-06,2019-03-04,2019-03-10,Week,32.76
22,2019-03-06,2019-03-11,2019-03-17,Week,40.63
23,2019-03-06,2019-03-18,2019-03-24,Week,43.4
24,2019-03-06,2019-03-25,2019-03-31,Week,44.25
25,2019-03-06,2019-04-01,2019-04-07,Week,43.13
26,2019-03-06,2019-03-09,2019-03-10,Weekend,26.0
27,2019-03-06,2020-01-01,2020-12-31,Year,51.18
28,2019-03-06,2021-01-01,2021-12-31,Year,47.36
29,2019-03-06,2022-01-01,2022-12-31,Year,46.78
