,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2019-01-24,2019-01-24,2019-01-24,Day,102.74
1,2019-01-24,2019-01-25,2019-01-25,Day,75.6
2,2019-01-24,2019-01-26,2019-01-26,Day,60.5
3,2019-01-24,2019-01-01,2019-01-31,Month,72.93
4,2019-01-24,2019-02-01,2019-02-28,Month,78.03
5,2019-01-24,2019-03-01,2019-03-29,Month,65.8
6,2019-01-24,2019-04-01,2019-04-30,Month,59.75
7,2019-01-24,2019-04-01,2019-06-28,Quarter,59.13
8,2019-01-24,2019-07-01,2019-09-30,Quarter,63.48
9,2019-01-24,2019-10-01,2019-12-31,Quarter,82.14
10,2019-01-24,2020-01-01,2020-03-31,Quarter,84.0
11,2019-01-24,2019-01-21,2019-01-25,Week,85.96
12,2019-01-24,2019-01-28,2019-02-01,Week,77.25
13,2019-01-24,2019-02-04,2019-02-08,Week,83.38
14,2019-01-24,2019-02-11,2019-02-15,Week,80.63
15,2019-01-24,2019-02-18,2019-02-22,Week,76.38
16,2019-01-24,2019-01-26,2019-01-27,Weekend,0.01
17,2019-01-24,2020-01-01,2020-12-31,Year,71.0
18,2019-01-24,2021-01-01,2021-12-31,Year,68.23
19,2019-01-24,2022-01-03,2022-12-30,Year,68.27
