,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2020-09-28,2020-09-26,2020-09-27,Day,35.54
1,2020-09-28,2020-09-27,2020-09-28,Day,35.64
2,2020-09-28,2020-09-28,2020-09-29,Day,54.44
3,2020-09-28,2020-09-29,2020-09-30,Day,69.74
4,2020-09-28,2020-09-30,2020-10-01,Day,60.0
5,2020-09-28,2020-10-01,2020-10-02,Day,41.75
6,2020-09-28,2020-10-02,2020-10-03,Day,42.79
7,2020-09-28,2020-10-03,2020-10-04,Day,29.43
8,2020-09-28,2020-10-04,2020-10-05,Day,24.08
9,2020-09-28,2020-09-01,2020-10-01,Month,57.29
10,2020-09-28,2020-10-01,2020-10-31,Month,52.07
11,2020-09-28,2020-11-02,2020-12-01,Month,80.0
12,2020-09-28,2020-12-01,2021-01-01,Month,82.5
13,2020-09-28,2020-10-01,2021-01-01,Quarter,71.56
14,2020-09-28,2021-01-01,2021-04-01,Quarter,78.76
15,2020-09-28,2021-04-01,2021-07-01,Quarter,44.38
16,2020-09-28,2021-07-01,2021-10-01,Quarter,46.87
17,2020-09-28,2021-10-01,2022-01-01,Quarter,73.67
18,2020-09-28,2022-01-03,2022-04-01,Quarter,77.11
19,2020-09-28,2022-07-01,2022-10-01,Quarter,48.27
20,2020-09-28,2020-09-21,2020-09-26,Week,57.37
21,2020-09-28,2020-09-28,2020-10-03,Week,53.74
22,2020-09-28,2020-10-05,2020-10-10,Week,49.5
23,2020-09-28,2020-10-12,2020-10-17,Week,52.5
24,2020-09-28,2020-10-19,2020-10-24,Week,54.25
25,2020-09-28,2020-10-26,2020-10-31,Week,55.95
26,2020-09-28,2020-09-26,2020-09-28,Weekend,35.59
27,2020-09-28,2021-01-01,2022-01-01,Year,60.85
28,2020-09-28,2022-01-03,2022-12-31,Year,61.64
29,2020-09-28,2023-01-02,2023-12-30,Year,63.13
30,2020-09-28,2024-01-01,2025-01-01,Year,64.78
