,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2021-02-02,2021-02-02,2021-02-03,Day,53.65
1,2021-02-02,2021-02-03,2021-02-04,Day,50.67
2,2021-02-02,2021-02-04,2021-02-05,Day,57.5
3,2021-02-02,2021-02-05,2021-02-06,Day,57.5
4,2021-02-02,2021-02-06,2021-02-07,Day,45.85
5,2021-02-02,2021-02-07,2021-02-08,Day,36.77
6,2021-02-02,2021-02-08,2021-02-09,Day,66.15
7,2021-02-02,2021-02-01,2021-02-27,Month,65.44
8,2021-02-02,2021-03-01,2021-04-01,Month,58.79
9,2021-02-02,2021-04-01,2021-05-01,Month,52.03
10,2021-02-02,2021-05-03,2021-06-01,Month,47.22
11,2021-02-02,2021-04-01,2021-07-01,Quarter,50.17
12,2021-02-02,2021-07-01,2021-10-01,Quarter,53.1
13,2021-02-02,2021-10-01,2022-01-01,Quarter,75.35
14,2021-02-02,2022-01-03,2022-04-01,Quarter,79.29
15,2021-02-02,2022-07-01,2022-10-01,Quarter,54.31
16,2021-02-02,2021-02-01,2021-02-06,Week,57.0
17,2021-02-02,2021-02-08,2021-02-13,Week,73.5
18,2021-02-02,2021-02-15,2021-02-20,Week,66.25
19,2021-02-02,2021-02-22,2021-02-27,Week,65.0
20,2021-02-02,2021-03-01,2021-03-06,Week,64.25
21,2021-02-02,2022-01-03,2022-12-31,Year,65.43
22,2021-02-02,2023-01-02,2023-12-30,Year,63.73
23,2021-02-02,2024-01-01,2025-01-01,Year,63.28
