,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2024-12-03,2024-12-03,2024-12-04,Day,162.03
1,2024-12-03,2024-12-04,2024-12-05,Day,167.30
2,2024-12-03,2024-12-05,2024-12-06,Day,115.00
3,2024-12-03,2024-12-06,2024-12-07,Day,90.00
4,2024-12-03,2024-12-07,2024-12-08,Day,56.90
5,2024-12-03,2024-12-08,2024-12-09,Day,82.41
6,2024-12-03,2024-12-09,2024-12-10,Day,156.17
7,2024-12-03,2024-12-10,2024-12-11,Day,155.84
8,2024-12-03,2024-12-11,2024-12-12,Day,155.62
9,2024-12-03,2024-12-12,2024-12-13,Day,155.56
10,2024-12-03,2024-12-13,2024-12-14,Day,156.07
11,2024-12-03,2024-12-14,2024-12-15,Day,135.15
12,2024-12-03,2024-12-15,2024-12-16,Day,112.13
13,2024-12-03,2024-12-02,2025-01-01,Month,123.22
14,2024-12-03,2025-01-01,2025-02-01,Month,134.36
15,2024-12-03,2025-02-03,2025-03-01,Month,140.00
16,2024-12-03,2025-03-03,2025-04-01,Month,97.18
17,2024-12-03,2025-01-01,2025-04-01,Quarter,123.92
18,2024-12-03,2025-04-01,2025-07-01,Quarter,55.09
19,2024-12-03,2025-07-01,2025-10-01,Quarter,67.72
20,2024-12-03,2025-10-01,2026-01-01,Quarter,110.05
21,2024-12-03,2026-01-01,2026-04-01,Quarter,111.55
22,2024-12-03,2026-04-01,2026-07-01,Quarter,52.40
23,2024-12-03,2026-07-01,2026-10-01,Quarter,60.97
24,2024-12-03,2026-10-01,2027-01-01,Quarter,100.72
25,2024-12-03,2027-01-01,2027-04-01,Quarter,107.50
26,2024-12-03,2024-12-02,2024-12-07,Week,132.26
27,2024-12-03,2024-12-09,2024-12-14,Week,155.85
28,2024-12-03,2024-12-16,2024-12-21,Week,135.20
29,2024-12-03,2024-12-23,2024-12-28,Week,79.88
30,2024-12-03,2024-12-30,2025-01-04,Week,97.84
31,2024-12-03,2025-01-01,2026-01-01,Year,89.06
32,2024-12-03,2026-01-01,2027-01-01,Year,81.29
33,2024-12-03,2027-01-01,2028-01-01,Year,79.88
34,2024-12-03,2028-01-03,2029-01-01,Year,79.00
