,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2022-06-01,2022-06-01,2022-06-01,Day,216.85
1,2022-06-01,2022-06-02,2022-06-02,Day,193.49
2,2022-06-01,2022-06-03,2022-06-03,Day,200.00
3,2022-06-01,2022-06-04,2022-06-04,Day,176.15
4,2022-06-01,2022-06-05,2022-06-05,Day,159.35
5,2022-06-01,2022-06-06,2022-06-06,Day,164.98
6,2022-06-01,2022-06-07,2022-06-07,Day,228.88
7,2022-06-01,2022-06-01,2022-06-30,Month,205.19
8,2022-06-01,2022-07-01,2022-07-31,Month,228.12
9,2022-06-01,2022-08-01,2022-08-31,Month,220.09
10,2022-06-01,2022-09-01,2022-09-30,Month,275.73
11,2022-06-01,2022-10-01,2022-10-31,Month,385.42
12,2022-06-01,2022-11-01,2022-11-30,Month,523.29
13,2022-06-01,2022-12-01,2022-12-31,Month,549.14
14,2022-06-01,2022-07-01,2022-09-30,Quarter,240.94
15,2022-06-01,2022-10-01,2022-12-31,Quarter,485.50
16,2022-06-01,2023-01-01,2023-03-31,Quarter,535.61
17,2022-06-01,2023-04-01,2023-06-30,Quarter,185.71
18,2022-06-01,2023-07-01,2023-09-30,Quarter,190.27
19,2022-06-01,2023-10-01,2023-12-31,Quarter,322.26
20,2022-06-01,2024-01-01,2024-03-31,Quarter,327.20
21,2022-06-01,2022-05-30,2022-06-05,Week,197.55
22,2022-06-01,2022-06-06,2022-06-12,Week,193.00
23,2022-06-01,2022-06-13,2022-06-19,Week,205.50
24,2022-06-01,2022-06-20,2022-06-26,Week,208.50
25,2022-06-01,2022-06-27,2022-07-03,Week,225.38
26,2022-06-01,2022-06-04,2022-06-05,Weekend,167.75
27,2022-06-01,2023-01-01,2023-12-31,Year,307.53
28,2022-06-01,2024-01-01,2024-12-31,Year,217.75
29,2022-06-01,2025-01-01,2025-12-31,Year,191.50
30,2022-06-01,2026-01-01,2026-12-31,Year,157.88
31,2022-06-01,2027-01-01,2027-12-31,Year,135.13
32,2022-06-01,2028-01-01,2028-12-31,Year,136.25
